"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Chloridium","Chaetosphaeriales",13,37629,24,14,7,3,"","higher in forest","higher in paramo",TRUE,"",0.382666673613016,2,0.825857253644619,0.608410100418379,0.030977181619976,11.9495328797891,0.743606047406856,"estimated",0.293788769146792,0.00641104990921295,13.4629806504475,0.530217993690222,"estimated",0.482879506676115,0.0234185915623488,9.95673105903819,0.637293205761325,"estimated",0.84115090648989,0.86115123449982,0.647633521857477,0.767886515816276,FALSE
"Arachnopeziza","Helotiales",10,32036,17,11,3,3,"","higher in forest","absent",TRUE,"",0.570082097023658,2,0.751983385886925,0.247605959787497,0.00512998518833312,11.9510503581412,0.480353235179065,"estimated",0.262675488286296,0.00347749860327024,19.8413917640564,0.544600916107423,"estimated",1.06086092803151,0.0077583308709987,145.060313530943,0.98121550146138,"estimated",0.801902729188441,0.761939614421966,0.647633521857477,0.98121550146138,FALSE
"Sympodiella","Venturiales",8,2288,16,6,5,5,"","higher in forest","paramo only",TRUE,"",0.553714860847037,2,0.758162580323617,1.28943617039916,0.0354151225759766,46.947335392296,0.889768334472046,"estimated",5.87601121302491,0.0256894552125119,1344.03425413156,0.522888057770383,"estimated",4.55703922994957,0.0761374421847494,272.75156542439,0.467552093746458,"estimated",0.801902729188441,0.930212349675321,0.647633521857477,0.742007646956359,FALSE
"Linnemannia","Mortierellales",10,10075,18,13,3,2,"","forest only","paramo only",TRUE,"",2.07985636632691,2,0.353480066867422,0.0807414611638128,0.00277156192910761,2.35216954108131,0.143528111851884,"estimated",0.272793649800826,0.00192950831944312,38.567532786349,0.607107215193134,"estimated",3.37860680087727,0.0897844735738499,127.137615899091,0.510699734001919,"estimated",0.532050447510957,0.550191095432222,0.702966249170997,0.742007646956359,FALSE
"Paraphaeosphaeria","Pleosporales",4,8417,13,10,2,1,"","forest only","higher in paramo",TRUE,"",1.8319312295817,2,0.400130067975837,0.0108306834851047,1.60040003127574e-05,7.3296489916344,0.173536897193264,"estimated",0.181441115764142,0.000185755689342515,177.226757394407,0.62701183624992,"estimated",16.7525083725026,0.00331196646583055,84737.1311473688,0.517165809311982,"estimated",0.546661132400232,0.598004865304375,0.707397969102474,0.742007646956359,FALSE
"Cladophialophora","Chaetothyriales",87,60934,48,21,14,13,"","higher in forest","higher in paramo",TRUE,"",1.21941845883509,2,0.543508882494891,0.489300290762212,0.128237046250051,1.8669704390504,0.295476036509894,"estimated",0.812060197451747,0.119554862437507,5.51580881647597,0.831342566604122,"estimated",1.65963563231641,0.312118129967774,8.82483318844274,0.552369286282169,"estimated",0.664288634160422,0.761939614421966,0.914476823264535,0.742007646956359,FALSE
"Penicillium","Eurotiales",25,9496,31,18,8,5,"","higher in forest","higher in paramo",TRUE,"",0.394936499077346,2,0.820806201189553,0.544066613371138,0.0415855184629119,7.11806635401539,0.642674056674161,"estimated",1.18000542573789,0.0549942030105248,25.3192650960753,0.915734922619632,"estimated",2.16886204140768,0.142059120923561,33.1127105678079,0.577731426520538,"estimated",0.84115090648989,0.86115123449982,0.982739916957654,0.742007646956359,FALSE
"Lachnum","Helotiales",6,288484,16,6,7,3,"","higher in forest","higher in paramo",TRUE,"",5.63598295146625,2,0.0597257830021008,1015.68595112148,7.94968773913057,129768.36136942,0.00514649637321215,"estimated",1.15619384741365,0.00540473462852175,247.335772184398,0.957720204106753,"estimated",0.00113833793421778,2.58072786496595e-06,0.502111543828473,0.0291307454923834,"estimated",0.252686005008888,0.0591847082919397,0.987531110183698,0.213625466944145,TRUE
"Podila","Mortierellales",9,38703,13,11,1,1,"","higher in paramo","forest only",TRUE,"",2.61093967529393,2,0.271045157905443,0.00304594510450341,3.57577899304795e-08,259.46182909196,0.317166955966493,"estimated",1.07294532530709,0.0150628348464973,76.4272915975075,0.974194194410671,"estimated",352.253664624734,0.00224286412371233,55323299.7619919,0.336712962219607,"estimated",0.532050447510957,0.761939614421966,0.987531110183698,0.70356241125606,FALSE
"Metapochonia","Hypocreales",6,4588,17,9,4,4,"","higher in forest","higher in paramo",TRUE,"",0.0286413156132426,2,0.985781395077765,0.744239163100965,0.0133077989865112,41.6216034262805,0.885598279675999,"estimated",1.02791615908319,0.0325317218321862,32.4794253299851,0.987531110183698,"estimated",1.381163757629,0.0239480893718622,79.6561803226441,0.875959837861391,"estimated",0.985781395077765,0.930212349675321,0.987531110183698,0.917672211092886,FALSE
"Cryptodiscus","Ostropales",3,160772,12,5,6,1,"","forest only","absent",TRUE,"",3.69585693035845,2,0.157563226184354,0.297572404594051,NA,NA,NA,"estimated",0.0014110430418182,NA,NA,NA,"estimated",0.00474184776556531,NA,NA,NA,"estimated",0.430816039613005,NA,NA,NA,FALSE
