"","samplename","Individual","site","elevation","elevation_adj","altitudinal_level","habitat","Fieldcontrol","plate","sampletype","extract_blank"
"S_6_5_P2","DOM_1_V_A","5","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_6_6_P3","DOM_1_I_B","1","DOM",3815,3800,1,"paramo","S_S1_5","P3","S","E_6_12"
"S_6_7_P2","DOM_1_II_B","2","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_6_8_P2","DOM_1_III_B","3","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_6_9_P2","DOM_1_IV_B","4","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_7_1_P3","NV_1_II_A","2","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_7_12"
"S_7_10_P4","NV_2_I_A","1","NV",3550,3500,2,"subparamo","S_S1_2","P4","S","E_7_12"
"S_7_11_P3","NV_2_II_A","2","NV",3550,3500,2,"subparamo","S_S1_2","P3","S","E_7_12"
"S_7_2_P3","NV_1_III_A","3","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_7_12"
"S_7_3_P3","NV_1_IV_A","4","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_7_12"
"S_7_4_P2","NV_1_V_A","5","NV",3830,3800,1,"paramo","S_S1_1","P2","S","E_7_12"
"S_7_5_P3","NV_1_I_B","1","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_7_12"
"S_7_6_P3","NV_1_II_B","2","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_7_12"
"S_7_7_P2","NV_1_III_B","3","NV",3830,3800,1,"paramo","S_S1_1","P2","S","E_7_12"
"S_7_8_P4","NV_1_IV_B","4","NV",3830,3800,1,"paramo","S_S1_1","P4","S","E_7_12"
"S_7_9_P2","NV_1_V_B","5","NV",3830,3800,1,"paramo","S_S1_1","P2","S","E_7_12"
"S_8_1_P2","NV_2_III_A","3","NV",3550,3500,2,"subparamo","S_S1_2","P2","S","E_8_12"
"S_8_10_P3","NV_3_II_A","2","NV",3333,3300,3,"forest","S_S1_3","P3","S","E_8_12"
"S_8_11_P2","NV_3_III_A","3","NV",3333,3300,3,"forest","S_S1_3","P2","S","E_8_12"
"S_8_2_P2","NV_2_IV_A","4","NV",3550,3500,2,"subparamo","S_S1_2","P2","S","E_8_12"
"S_8_3_P4","NV_2_V_A","5","NV",3550,3500,2,"subparamo","S_S1_2","P4","S","E_8_12"
"S_8_4_P3","NV_2_I_B","1","NV",3550,3500,2,"subparamo","S_S1_2","P3","S","E_8_12"
"S_8_5_P2","NV_2_II_B","2","NV",3550,3500,2,"subparamo","S_S1_2","P2","S","E_8_12"
"S_8_6_P3","NV_2_III_B","3","NV",3550,3500,2,"subparamo","S_S1_2","P3","S","E_8_12"
"S_8_7_P4","NV_2_IV_B","4","NV",3550,3500,2,"subparamo","S_S1_2","P4","S","E_8_12"
"S_8_8_P3","NV_2_V_B","5","NV",3550,3500,2,"subparamo","S_S1_2","P3","S","E_8_12"
"S_8_9_P3","NV_3_I_A","1","NV",3333,3300,3,"forest","S_S1_3","P3","S","E_8_12"
"S_9_1_P2","NV_3_IV_A","4","NV",3333,3300,3,"forest","S_S1_3","P2","S","E_9_12"
"S_9_10_P2","NV_4_III_A","3","NV",3078,3000,3,"forest","S_S1_4","P2","S","E_9_12"
"S_9_2_P1","NV_3_V_A","5","NV",3333,3300,3,"forest","S_S1_3","P1","S","E_9_12"
"S_9_3_P2","NV_3_I_B","1","NV",3333,3300,3,"forest","S_S1_3","P2","S","E_9_12"
"S_9_4_P2","NV_3_II_B","2","NV",3333,3300,3,"forest","S_S1_3","P2","S","E_9_12"
"S_9_5_P2","NV_3_III_B","3","NV",3333,3300,3,"forest","S_S1_3","P2","S","E_9_12"
"S_9_6_P1","NV_3_IV_B","4","NV",3333,3300,3,"forest","S_S1_3","P1","S","E_9_12"
"S_9_7_P1","NV_3_V_B","5","NV",3333,3300,3,"forest","S_S1_3","P1","S","E_9_12"
"S_9_8_P1","NV_4_I_A","1","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_9_12"
"S_9_9_P1","NV_4_II_A","2","NV",3078,3000,3,"forest","S_S1_4","P1","S","E_9_12"
